source_html,source_relative_path,source_url,page_type,시도,시군구,읍면동,리,지역표시명,학교명,학교급,title,h1,canonical,description,slug,confidence,is_valid,validation_note,대상
C:\Users\user\Documents\GitHub\studynavi\강원과외\index.html,강원과외/index.html,https://studynavi.co.kr/강원과외/,region,강원특별자치도,,,,강원특별자치도,,,강원과외,강원과외,https://studynavi.co.kr/강원과외/,강원과외 페이지입니다. 전국과외에 속한 정보를 제공합니다.,강원과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\경기과외\index.html,경기과외/index.html,https://studynavi.co.kr/경기과외/,region,경기도,,,,경기도,,,경기과외,경기과외,https://studynavi.co.kr/경기과외/,"경기과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",경기과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\경남과외\index.html,경남과외/index.html,https://studynavi.co.kr/경남과외/,region,경상남도,,,,경상남도,,,경남과외,경남과외,https://studynavi.co.kr/경남과외/,"경남과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",경남과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\경북과외\index.html,경북과외/index.html,https://studynavi.co.kr/경북과외/,region,경상북도,,,,경상북도,,,경북과외,경북과외,https://studynavi.co.kr/경북과외/,"경북과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",경북과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\광주과외\index.html,광주과외/index.html,https://studynavi.co.kr/광주과외/,region,광주광역시,,,,광주광역시,,,광주과외,광주과외,https://studynavi.co.kr/광주과외/,"광주과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",광주과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\대구과외\index.html,대구과외/index.html,https://studynavi.co.kr/대구과외/,region,대구광역시,,,,대구광역시,,,대구과외,대구과외,https://studynavi.co.kr/대구과외/,"대구과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",대구과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\대전과외\index.html,대전과외/index.html,https://studynavi.co.kr/대전과외/,region,대전광역시,,,,대전광역시,,,대전과외,대전과외,https://studynavi.co.kr/대전과외/,"대전과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",대전과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\부산과외\index.html,부산과외/index.html,https://studynavi.co.kr/부산과외/,region,부산광역시,,,,부산광역시,,,부산과외,부산과외,https://studynavi.co.kr/부산과외/,"부산과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",부산과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\서울과외\index.html,서울과외/index.html,https://studynavi.co.kr/서울과외/,region,서울특별시,,,,서울특별시,,,서울과외,서울과외,https://studynavi.co.kr/서울과외/,"서울과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",서울과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\세종과외\index.html,세종과외/index.html,https://studynavi.co.kr/세종과외/,region,세종특별자치시,,,,세종특별자치시,,,세종과외,세종과외,https://studynavi.co.kr/세종과외/,"세종과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",세종과외,high,true,정상,
C:\Users\user\Documents\GitHub\studynavi\울산과외\index.html,울산과외/index.html,https://studynavi.co.kr/울산과외/,region,울산광역시,,,,울산광역시,,,울산과외,울산과외,https://studynavi.co.kr/울산과외/,"울산과외 안내 페이지입니다. 지역 학습환경, 실제 학습 사례, 학습 체크리스트와 FAQ를 확인하세요.",울산과외,high,true,정상,
